cityid,city_name,adm1id,adm1_name,countryid,country_name,regionid,region_name,year,population,scope,sector,sector_code,subsector,subsector_code,activity_amount_mj,co2e_total_ton,notation
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2013,559440,Total emissions,Stationary energy,stationary_energy,Industrial buildings & facilities,stationary_energy_industry,707606523.7734528,51556.530160792,
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2013,559440,Total emissions,Stationary energy,stationary_energy,Agriculture,stationary_energy_agriculture_forestry_fisheries,1024791.8679398,75.9407666651,
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2013,559440,Total emissions,Stationary energy,stationary_energy,Fugitive emissions,stationary_energy_fugitive_emissions,,,NE
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2013,559440,Total emissions,Transport,transportation,On-road,transportation_on_road,3015305625.9953165,214229.32653187,
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2013,559440,Total emissions,Transport,transportation,Rail,transportation_rail,79710582.036955,3659.9192429369,
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2013,559440,Total emissions,Transport,transportation,Waterborne navigation,transportation_waterborne_navigation,42595147.292616,3156.4537569131,
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2013,559440,Total emissions,Transport,transportation,Aviation,transportation_aviation,,,NE
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2013,559440,Total emissions,Transport,transportation,Off-road,transportation_off_road,,,NE
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2013,559440,Total emissions,Waste,waste,Solid waste disposal,waste_solid_waste_disposal,,21102.425263228,
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2013,559440,Total emissions,Waste,waste,Biological treatment,waste_biological_treatment,,613.9785269955,
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2013,559440,Total emissions,Waste,waste,Incineration and open burning,waste_incineration_open_burning,,,NE
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2013,559440,Total emissions,Waste,waste,Wastewater,waste_wastewater,,,NE
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2013,559440,Total emissions,IPPU,industry,Industrial process,industry_industrial_processes,,,NE
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2013,559440,Total emissions,IPPU,industry,Produce use,industry_product_use,,,NE
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2013,559440,Total emissions,AFOLU,agriculture,Livestock,agriculture_live_stock,,,NE
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2013,559440,Total emissions,AFOLU,agriculture,Land use,agriculture_land,,,NE
2618424,Copenhagen municipality,6418538,Capital Region,2623032,Denmark,51,European Union & Western Europe,2013,559440,Total emissions,AFOLU,agriculture,Other AFOLU,agriculture_aggregate_sources,,,NE
